stn;time;hto000d0;qhto000d0;mhto000d0
AIG;19850404;0;0;-
AIG;19850405;0;0;-
AIG;19850406;0;0;-
AIG;19850407;0;0;-
AIG;19850408;0;0;-
AIG;19850409;0;0;-
AIG;19850410;0;0;-
AIG;19850411;0;0;-
AIG;19850412;0;0;-
AIG;19850413;0;0;-
AIG;19850414;0;0;-
AIG;19850415;0;0;-
AIG;19850416;0;0;-
AIG;19850417;0;0;-
AIG;19850418;0;0;-
AIG;19850419;0;0;-
AIG;19850420;0;0;-
AIG;19850421;0;0;-
AIG;19850422;0;0;-
AIG;19850423;0;0;-
AIG;19850424;0;0;-
AIG;19850425;0;0;-
AIG;19850426;0;0;-
AIG;19850427;0;0;-
AIG;19850428;0;0;-
AIG;19850429;0;0;-
AIG;19850430;0;0;-
AIG;19850501;0;0;-
AIG;19850502;0;0;-
AIG;19850503;0;0;-
AIG;19850504;0;0;-
AIG;19850505;0;0;-
AIG;19850506;0;0;-
AIG;19850507;0;0;-
AIG;19850508;0;0;-
AIG;19850509;0;0;-
AIG;19850510;0;0;-
AIG;19850511;0;0;-
AIG;19850512;0;0;-
AIG;19850513;0;0;-
AIG;19850514;0;0;-
AIG;19850515;0;0;-
AIG;19850516;0;0;-
AIG;19850517;0;0;-
AIG;19850518;0;0;-
AIG;19850519;0;0;-
AIG;19850520;0;0;-
AIG;19850521;0;0;-
AIG;19850522;0;0;-
AIG;19850523;0;0;-
AIG;19850524;0;0;-
AIG;19850525;0;0;-
AIG;19850526;0;0;-
AIG;19850527;0;0;-
AIG;19850528;0;0;-
AIG;19850529;0;0;-
AIG;19850530;0;0;-
AIG;19850531;0;0;-
AIG;19850601;0;0;-
AIG;19850602;0;0;-
AIG;19850603;0;0;-
AIG;19850604;0;0;-
AIG;19850605;0;0;-
AIG;19850606;0;0;-
AIG;19850607;0;0;-
AIG;19850608;0;0;-
AIG;19850609;0;0;-
AIG;19850610;0;0;-
AIG;19850611;0;0;-
AIG;19850612;0;0;-
AIG;19850613;0;0;-
AIG;19850614;0;0;-
AIG;19850615;0;0;-
AIG;19850616;0;0;-
AIG;19850617;0;0;-
AIG;19850618;0;0;-
AIG;19850619;0;0;-
AIG;19850620;0;0;-
AIG;19850621;0;0;-
AIG;19850622;0;0;-
AIG;19850623;0;0;-
AIG;19850624;0;0;-
AIG;19850625;0;0;-
AIG;19850626;0;0;-
AIG;19850627;0;0;-
AIG;19850628;0;0;-
AIG;19850629;0;0;-
AIG;19850630;0;0;-
AIG;19850701;0;0;-
AIG;19850702;0;0;-
AIG;19850703;0;0;-
AIG;19850704;0;0;-
AIG;19850705;0;0;-
AIG;19850706;0;0;-
AIG;19850707;0;0;-
AIG;19850708;0;0;-
AIG;19850709;0;0;-
AIG;19850710;0;0;-
AIG;19850711;0;0;-
AIG;19850712;0;0;-
AIG;19850713;0;0;-
AIG;19850714;0;0;-
AIG;19850715;0;0;-
AIG;19850716;0;0;-
AIG;19850717;0;0;-
AIG;19850718;0;0;-
AIG;19850719;0;0;-
AIG;19850720;0;0;-
AIG;19850721;0;0;-
AIG;19850722;0;0;-
AIG;19850723;0;0;-
AIG;19850724;0;0;-
AIG;19850725;0;0;-
AIG;19850726;0;0;-
AIG;19850727;0;0;-
AIG;19850728;0;0;-
AIG;19850729;0;0;-
AIG;19850730;0;0;-
AIG;19850731;0;0;-
AIG;19850801;0;0;-
AIG;19850802;0;0;-
AIG;19850803;0;0;-
AIG;19850804;0;0;-
AIG;19850805;0;0;-
AIG;19850806;0;0;-
AIG;19850807;0;0;-
AIG;19850808;0;0;-
AIG;19850809;0;0;-
AIG;19850810;0;0;-
AIG;19850811;0;0;-
AIG;19850812;0;0;-
AIG;19850813;0;0;-
AIG;19850814;0;0;-
AIG;19850815;0;0;-
AIG;19850816;0;0;-
AIG;19850817;0;0;-
AIG;19850818;0;0;-
AIG;19850819;0;0;-
AIG;19850820;0;0;-
AIG;19850821;0;0;-
AIG;19850822;0;0;-
AIG;19850823;0;0;-
AIG;19850824;0;0;-
AIG;19850825;0;0;-
AIG;19850826;0;0;-
AIG;19850827;0;0;-
AIG;19850828;0;0;-
AIG;19850829;0;0;-
AIG;19850830;0;0;-
AIG;19850831;0;0;-
AIG;19850901;0;0;-
AIG;19850902;0;0;-
AIG;19850903;0;0;-
AIG;19850904;0;0;-
AIG;19850905;0;0;-
AIG;19850906;0;0;-
AIG;19850907;0;0;-
AIG;19850908;0;0;-
AIG;19850909;0;0;-
AIG;19850910;0;0;-
AIG;19850911;0;0;-
AIG;19850912;0;0;-
AIG;19850913;0;0;-
AIG;19850914;0;0;-
AIG;19850915;0;0;-
AIG;19850916;0;0;-
AIG;19850917;0;0;-
AIG;19850918;0;0;-
AIG;19850919;0;0;-
AIG;19850920;0;0;-
AIG;19850921;0;0;-
AIG;19850922;0;0;-
AIG;19850923;0;0;-
AIG;19850924;0;0;-
AIG;19850925;0;0;-
AIG;19850926;0;0;-
AIG;19850927;0;0;-
AIG;19850928;0;0;-
AIG;19850929;0;0;-
AIG;19850930;0;0;-
AIG;19851001;0;0;-
AIG;19851002;0;0;-
AIG;19851003;0;0;-
AIG;19851004;0;0;-
AIG;19851005;0;0;-
AIG;19851006;0;0;-
AIG;19851007;0;0;-
AIG;19851008;0;0;-
AIG;19851009;0;0;-
AIG;19851010;0;0;-
AIG;19851011;0;0;-
AIG;19851012;0;0;-
AIG;19851013;0;0;-
AIG;19851014;0;0;-
AIG;19851015;0;0;-
AIG;19851016;0;0;-
AIG;19851017;0;0;-
AIG;19851018;0;0;-
AIG;19851019;0;0;-
AIG;19851020;0;0;-
AIG;19851021;0;0;-
AIG;19851022;0;0;-
AIG;19851023;0;0;-
AIG;19851024;0;0;-
AIG;19851025;0;0;-
AIG;19851026;0;0;-
AIG;19851027;0;0;-
AIG;19851028;0;0;-
AIG;19851029;0;0;-
AIG;19851030;0;0;-
AIG;19851031;0;0;-
AIG;19851101;0;0;-
AIG;19851102;0;0;-
AIG;19851103;0;0;-
AIG;19851104;0;0;-
AIG;19851105;0;0;-
AIG;19851106;0;0;-
AIG;19851107;0;0;-
AIG;19851108;0;0;-
AIG;19851109;0;0;-
AIG;19851110;0;0;-
AIG;19851111;0;0;-
AIG;19851112;0;0;-
AIG;19851113;3;0;-
AIG;19851114;1;0;-
AIG;19851115;0;0;-
AIG;19851116;0;0;-
AIG;19851117;0;0;-
AIG;19851118;0;0;-
AIG;19851119;0;0;-
AIG;19851120;0;0;-
AIG;19851121;0;0;-
AIG;19851122;2;0;-
AIG;19851123;0;0;-
AIG;19851124;0;0;-
AIG;19851125;0;0;-
AIG;19851126;0;0;-
AIG;19851127;0;0;-
AIG;19851128;0;0;-
AIG;19851129;2;0;-
AIG;19851130;0;0;-
AIG;19851201;0;0;-
AIG;19851202;0;0;-
AIG;19851203;0;0;-
AIG;19851204;0;0;-
AIG;19851205;0;0;-
AIG;19851206;0;0;-
AIG;19851207;0;0;-
AIG;19851208;0;0;-
AIG;19851209;0;0;-
AIG;19851210;0;0;-
AIG;19851211;0;0;-
AIG;19851212;0;0;-
AIG;19851213;0;0;-
AIG;19851214;0;0;-
AIG;19851215;0;0;-
AIG;19851216;0;0;-
AIG;19851217;0;0;-
AIG;19851218;0;0;-
AIG;19851219;0;0;-
AIG;19851220;0;0;-
AIG;19851221;0;0;-
AIG;19851222;0;0;-
AIG;19851223;0;0;-
AIG;19851224;0;0;-
AIG;19851225;0;0;-
AIG;19851226;0;0;-
AIG;19851227;0;0;-
AIG;19851228;0;0;-
AIG;19851229;0;0;-
AIG;19851230;0;0;-
AIG;19851231;0;0;-
AIG;19860101;1;0;-
AIG;19860102;1;0;-
AIG;19860103;0;0;-
AIG;19860104;1;0;-
AIG;19860105;0;0;-
AIG;19860106;0;0;-
AIG;19860107;0;0;-
AIG;19860108;0;0;-
AIG;19860109;10;0;-
AIG;19860110;5;0;-
AIG;19860111;0;0;-
AIG;19860112;0;0;-
AIG;19860113;0;0;-
AIG;19860114;0;0;-
AIG;19860115;0;0;-
AIG;19860116;2;0;-
AIG;19860117;4;0;-
AIG;19860118;3;0;-
AIG;19860119;3;0;-
AIG;19860120;0;0;-
AIG;19860121;0;0;-
AIG;19860122;0;0;-
AIG;19860123;0;0;-
AIG;19860124;0;0;-
AIG;19860125;4;0;-
AIG;19860126;15;0;-
AIG;19860127;15;0;-
AIG;19860128;11;0;-
AIG;19860129;7;0;-
AIG;19860130;5;0;-
AIG;19860131;1;0;-
AIG;19860201;0;0;-
AIG;19860202;0;0;-
AIG;19860203;0;0;-
AIG;19860204;0;0;-
AIG;19860205;0;0;-
AIG;19860206;0;0;-
AIG;19860207;0;0;-
AIG;19860208;0;0;-
AIG;19860209;0;0;-
AIG;19860210;0;0;-
AIG;19860211;0;0;-
AIG;19860212;0;0;-
AIG;19860213;0;0;-
AIG;19860214;0;0;-
AIG;19860215;0;0;-
AIG;19860216;0;0;-
AIG;19860217;0;0;-
AIG;19860218;0;0;-
AIG;19860219;0;0;-
AIG;19860220;1;0;-
AIG;19860221;0;0;-
AIG;19860222;0;0;-
AIG;19860223;2;0;-
AIG;19860224;0;0;-
AIG;19860225;1;0;-
AIG;19860226;0;0;-
AIG;19860227;0;0;-
AIG;19860228;1;0;-
AIG;19860301;0;0;-
AIG;19860302;0;0;-
AIG;19860303;0;0;-
AIG;19860304;0;0;-
AIG;19860305;0;0;-
AIG;19860306;0;0;-
AIG;19860307;0;0;-
AIG;19860308;0;0;-
AIG;19860309;0;0;-
AIG;19860310;0;0;-
AIG;19860311;0;0;-
AIG;19860312;0;0;-
AIG;19860313;0;0;-
AIG;19860314;0;0;-
AIG;19860315;0;0;-
AIG;19860316;0;0;-
AIG;19860317;0;0;-
AIG;19860318;0;0;-
AIG;19860319;0;0;-
AIG;19860320;0;0;-
AIG;19860321;0;0;-
AIG;19860322;0;0;-
AIG;19860323;0;0;-
AIG;19860324;0;0;-
AIG;19860325;0;0;-
AIG;19860326;0;0;-
AIG;19860327;0;0;-
AIG;19860328;0;0;-
AIG;19860329;0;0;-
AIG;19860330;0;0;-
AIG;19860331;0;0;-
AIG;19860401;0;0;-
AIG;19860402;0;0;-
AIG;19860403;0;0;-
AIG;19860404;0;0;-
AIG;19860405;0;0;-
AIG;19860406;0;0;-
AIG;19860407;0;0;-
AIG;19860408;0;0;-
AIG;19860409;0;0;-
AIG;19860410;0;0;-
AIG;19860411;0;0;-
AIG;19860412;0;0;-
AIG;19860413;0;0;-
AIG;19860414;0;0;-
AIG;19860415;0;0;-
AIG;19860416;0;0;-
AIG;19860417;0;0;-
AIG;19860418;0;0;-
AIG;19860419;0;0;-
AIG;19860420;0;0;-
AIG;19860421;0;0;-
AIG;19860422;0;0;-
AIG;19860423;0;0;-
AIG;19860424;0;0;-
AIG;19860425;0;0;-
AIG;19860426;0;0;-
AIG;19860427;0;0;-
AIG;19860428;0;0;-
AIG;19860429;0;0;-
AIG;19860430;0;0;-
AIG;19860501;0;0;-
AIG;19860502;0;0;-
AIG;19860503;0;0;-
AIG;19860504;0;0;-
AIG;19860505;0;0;-
AIG;19860506;0;0;-
AIG;19860507;0;0;-
AIG;19860508;0;0;-
AIG;19860509;0;0;-
AIG;19860510;0;0;-
AIG;19860511;0;0;-
AIG;19860512;0;0;-
AIG;19860513;0;0;-
AIG;19860514;0;0;-
AIG;19860515;0;0;-
AIG;19860516;0;0;-
AIG;19860517;0;0;-
AIG;19860518;0;0;-
AIG;19860519;0;0;-
AIG;19860520;0;0;-
AIG;19860521;0;0;-
AIG;19860522;0;0;-
AIG;19860523;0;0;-
AIG;19860524;0;0;-
AIG;19860525;0;0;-
AIG;19860526;0;0;-
AIG;19860527;0;0;-
AIG;19860528;0;0;-
AIG;19860529;0;0;-
AIG;19860530;0;0;-
AIG;19860531;0;0;-
AIG;19860601;0;0;-
AIG;19860602;0;0;-
AIG;19860603;0;0;-
